device_number,epoch_time_utc,active_seconds,device_coherence,significance
337,1775001659,3600,99.2027,Normal
337,1775001719,3600,78.7666,Normal
337,1775001779,3600,64.6452,Normal
337,1775001839,3600,117.1355,Normal
337,1775001899,3600,112.512,Normal
337,1775001959,3600,120.0629,Normal
337,1775002019,3600,134.6743,Normal
337,1775002079,3600,165.9371,Normal
337,1775002139,3600,140.6636,Normal
337,1775002199,3600,105.4618,Normal
337,1775002259,3600,52.7629,Normal
337,1775002319,3600,80.5913,Normal
337,1775002379,3600,71.3057,Normal
337,1775002439,3600,33.4403,Normal
337,1775002499,3600,49.907,Normal
337,1775002559,3600,88.4326,Normal
337,1775002619,3600,99.0509,Normal
337,1775002679,3600,158.323,Normal
337,1775002739,3600,157.9035,Normal
337,1775002799,3600,207.8106,Normal
337,1775002859,3600,194.3968,Normal
337,1775002919,3600,162.5458,Normal
337,1775002979,3600,156.9495,Normal
337,1775003039,3600,124.6438,Normal
337,1775003099,3600,164.6883,Normal
337,1775003159,3600,132.0025,Normal
337,1775003219,3600,124.7282,Normal
337,1775003279,3600,158.7622,Normal
337,1775003339,3600,144.5505,Normal
337,1775003399,3600,161.4735,Normal
337,1775003459,3600,170.6956,Normal
337,1775003519,3600,166.1601,Normal
337,1775003579,3600,169.7505,Normal
337,1775003639,3600,171.7684,Normal
337,1775003699,3600,168.5,Normal
337,1775003759,3600,159.6188,Normal
337,1775003819,3600,126.8687,Normal
337,1775003879,3600,75.1986,Normal
337,1775003939,3600,89.1209,Normal
337,1775003999,3600,68.4961,Normal
337,1775004059,3600,98.1489,Normal
337,1775004119,3600,114.6075,Normal
337,1775004179,3600,117.2705,Normal
337,1775004239,3600,109.9773,Normal
337,1775004299,3600,92.2784,Normal
337,1775004359,3600,107.656,Normal
337,1775004419,3600,96.2111,Normal
337,1775004479,3600,127.1427,Normal
337,1775004539,3600,136.1101,Normal
337,1775004599,3600,133.3666,Normal
337,1775004659,3600,117.2786,Normal
337,1775004719,3600,108.345,Normal
337,1775004779,3600,136.4626,Normal
337,1775004839,3600,94.9702,Normal
337,1775004899,3600,136.9049,Normal
337,1775004959,3600,137.2825,Normal
337,1775005019,3600,148.1615,Normal
337,1775005079,3600,115.9707,Normal
337,1775005139,3600,104.247,Normal
337,1775005199,3600,80.4892,Normal
337,1775005259,3600,96.8147,Normal
337,1775005319,3600,133.9502,Normal
337,1775005379,3600,123.9573,Normal
337,1775005439,3600,74.2295,Normal
337,1775005499,3600,102.5168,Normal
337,1775005559,3600,121.2368,Normal
337,1775005619,3600,93.6333,Normal
337,1775005679,3600,35.0515,Normal
337,1775005739,3600,61.8285,Normal
337,1775005799,3600,106.2723,Normal
337,1775005859,3600,149.2421,Normal
337,1775005919,3600,140.6706,Normal
337,1775005979,3600,138.169,Normal
337,1775006039,3600,175.1968,Normal
337,1775006099,3600,191.6469,Normal
337,1775006159,3600,203.4534,Normal
337,1775006219,3600,231.0386,Normal
337,1775006279,3600,196.04,Normal
337,1775006339,3600,167.5626,Normal
337,1775006399,3600,119.6187,Normal
337,1775006459,3600,174.4931,Normal
337,1775006519,3600,166.7792,Normal
337,1775006579,3600,177.4866,Normal
337,1775006639,3600,141.0155,Normal
337,1775006699,3600,121.8504,Normal
337,1775006759,3600,141.7253,Normal
337,1775006819,3600,156.7638,Normal
337,1775006879,3600,121.6158,Normal
337,1775006939,3600,141.5861,Normal
337,1775006999,3600,116.4345,Normal
337,1775007059,3600,113.7693,Normal
337,1775007119,3600,103.5555,Normal
337,1775007179,3600,89.1621,Normal
337,1775007239,3600,94.2991,Normal
337,1775007299,3600,77.02,Normal
337,1775007359,3600,70.2841,Normal
337,1775007419,3600,68.6346,Normal
337,1775007479,3600,91.1608,Normal
337,1775007539,3600,112.0376,Normal
337,1775007599,3600,127.3695,Normal
337,1775007659,3600,97.8721,Normal
337,1775007719,3600,76.2784,Normal
337,1775007779,3600,81.8158,Normal
337,1775007839,3600,102.1865,Normal
337,1775007899,3600,111.0669,Normal
337,1775007959,3600,123.6613,Normal
337,1775008019,3600,115.6534,Normal
337,1775008079,3600,140.8989,Normal
337,1775008139,3600,111.0001,Normal
337,1775008199,3600,101.6513,Normal
337,1775008259,3600,92.5855,Normal
337,1775008319,3600,122.1512,Normal
337,1775008379,3600,135.9076,Normal
337,1775008439,3600,135.1164,Normal
337,1775008499,3600,126.7708,Normal
337,1775008559,3600,124.8887,Normal
337,1775008619,3600,126.842,Normal
337,1775008679,3600,163.8177,Normal
337,1775008739,3600,173.0534,Normal
337,1775008799,3600,213.2117,Normal
337,1775008859,3600,219.4301,Normal
337,1775008919,3600,195.8321,Normal
337,1775008979,3600,183.0137,Normal
337,1775009039,3600,200.4776,Normal
337,1775009099,3600,189.4929,Normal
337,1775009159,3600,133.3905,Normal
337,1775009219,3600,157.3495,Normal
337,1775009279,3600,185.9914,Normal
337,1775009339,3600,167.3711,Normal
337,1775009399,3600,201.2948,Normal
337,1775009459,3600,181.8124,Normal
337,1775009519,3600,148.6014,Normal
337,1775009579,3600,187.4141,Normal
337,1775009639,3600,188.3082,Normal
337,1775009699,3600,183.6608,Normal
337,1775009759,3600,165.2434,Normal
337,1775009819,3600,134.1311,Normal
337,1775009879,3600,159.1222,Normal
337,1775009939,3600,161.5984,Normal
337,1775009999,3600,136.1786,Normal
337,1775010059,3600,79.2034,Normal
337,1775010119,3600,102.284,Normal
337,1775010179,3600,75.1006,Normal
337,1775010239,3600,86.6109,Normal
337,1775010299,3600,78.8478,Normal
337,1775010359,3600,91.4024,Normal
337,1775010419,3600,107.7387,Normal
337,1775010479,3600,60.7882,Normal
337,1775010539,3600,35.5367,Normal
337,1775010599,3600,25.248,Normal
337,1775010659,3600,25.3362,Normal
337,1775010719,3600,16.5815,Normal
337,1775010779,3600,36.6546,Normal
337,1775010839,3600,8.1338,Normal
337,1775010899,3600,10.9382,Normal
337,1775010959,3600,12.7948,Normal
337,1775011019,3600,2.0379,Normal
337,1775011079,3600,3.1612,Normal
337,1775011139,3600,17.3358,Normal
337,1775011199,3600,12.6214,Normal
337,1775011259,3600,8.8223,Normal
337,1775011319,3600,22.1383,Normal
337,1775011379,3600,24.0709,Normal
337,1775011439,3600,10.2415,Normal
337,1775011499,3600,2.9455,Normal
337,1775011559,3600,20.3185,Normal
337,1775011619,3600,31.2471,Normal
337,1775011679,3600,58.4158,Normal
337,1775011739,3600,81.1789,Normal
